text,amount,currency,recipient,bill_type,intent
سدد تكلفة الكهرباء لهذا الشهر,,,,الكهرباء,pay_bill
قم بدفع اشتراك الكهرباء لهذا الشهر,,,,الكهرباء,pay_bill
سدد رسوم الكهرباء الشهرية,,,,الكهرباء,pay_bill
ادفع قيمة استهلاك الكهرباء لهذا الشهر,,,,الكهرباء,pay_bill
سدد فاتورة اشتراك الكهرباء لهذا الشهر,,,,الكهرباء,pay_bill
سدد مستحقات الهاتف الأرضي,,,,الهاتف الأرضي,pay_bill
ادفع فاتورة التلفون الأرضي,,,,التلفون الأرضي,pay_bill
سدد قيمة فاتورة الهاتف الثابت,,,,الهاتف الثابت,pay_bill
ادفع تكاليف الهاتف الأرضي,,,,الهاتف الأرضي,pay_bill
سدد فاتورة الهاتف المنزلي,,,,الهاتف المنزلي,pay_bill
سدد اشتراك الإنترنت لشهر آب,,,,اشتراك الإنترنت,pay_bill
ادفع فاتورة الإنترنت الخاصة بشهر آب,,,,فاتورة الإنترنت,pay_bill
سدد قيمة إنترنت شهر آب,,,,إنترنت,pay_bill
ادفع مستحقات الإنترنت لشهر آب,,,,الإنترنت,pay_bill
قم بسداد فاتورة الإنترنت لشهر آب,,,,فاتورة الإنترنت,pay_bill
قم بسداد الرسوم المدرسية,,,المدرسة,الرسوم المدرسية,pay_bill
ادفع التكاليف المدرسية,,,المدرسة,التكاليف المدرسية,pay_bill
سدد المصاريف المدرسية,,,المدرسة,المصاريف المدرسية,pay_bill
قم بدفع أقساط المدرسة,,,المدرسة,أقساط,pay_bill
سدد رسوم المدرسة,,,المدرسة,رسوم,pay_bill
ادفع ضريبة المسقفات,,,,ضريبة المسقفات,pay_bill
قم بسداد ضريبة المسقفات,,,,ضريبة المسقفات,pay_bill
سدد رسوم المسقفات الضريبية,,,,رسوم المسقفات الضريبية,pay_bill
ادفع مستحقات ضريبة المسقفات,,,,مستحقات ضريبة المسقفات,pay_bill
قم بدفع رسوم المسقفات,,,,رسوم المسقفات,pay_bill
سدد فاتورة إنترنت الفايبر,,,,إنترنت ,pay_bill
ادفع مستحقات إنترنت الألياف الضوئية,,,,إنترنت,pay_bill
قم بسداد فاتورة فايبر للنت,,,,فايبر للنت,pay_bill
ادفع فاتورة الألياف الضوئية,,,,الألياف الضوئية,pay_bill
سدد تكلفة فاتورة الفايبر,,,,الفايبر,pay_bill
سدد فاتورة الكهرباء حالاً,,,,الكهرباء,pay_bill
قم بدفع فاتورة الكهرباء فوراً,,,,الكهرباء,pay_bill
ادفع مستحقات الكهرباء في الحال,,,,الكهرباء,pay_bill
سدد فاتورة الكهرباء على الفور,,,,الكهرباء,pay_bill
قم بسداد فاتورة الكهرباء الآن,,,,الكهرباء,pay_bill
ادفع فاتورة المياه اليوم,,,,المياه,pay_bill
سدد فاتورة الماء اليوم,,,,الماء,pay_bill
قم بسداد مستحقات المياه اليوم,,,,المياه,pay_bill
ادفع قيمة فاتورة الماء اليوم,,,,الماء,pay_bill
قم بدفع فاتورة المياه في هذا اليوم,,,,المياه,pay_bill
سدد رسوم اشتراك باقة الجوال,,,,باقة الجوال,pay_bill
قم بدفع تكاليف اشتراك باقة الهاتف المحمول,,,,باقة الهاتف المحمول,pay_bill
أدّ رسوم اشتراك باقة الموبايل,,,,باقة الموبايل,pay_bill
سدد مبالغ اشتراك باقة الجوال,,,,باقة الجوال,pay_bill
قم بسداد قيمة اشتراك باقة الهاتف,,,,باقة الهاتف,pay_bill
سدد فاتورة التلفاز,,,,فاتورة التلفاز,pay_bill
قم بدفع فاتورة التلفزيون,,,,فاتورة التلفزيون,pay_bill
أدّ مستحقات فاتورة التلفاز,,,,فاتورة التلفاز,pay_bill
قم بسداد فاتورة التلفاز,,,,فاتورة التلفاز,pay_bill
سدد قيمة فاتورة التلفزيون,,,,فاتورة التلفزيون,pay_bill
سدد مخالفة المرور,,,المرور,مخالفة المرور,pay_bill
قم بدفع غرامة السير,,,السير,غرامة السير,pay_bill
أدّ رسوم مخالفة المرور,,,المرور,مخالفة المرور,pay_bill
قم بسداد غرامة السير,,,السير,غرامة السير,pay_bill
سدد قيمة مخالفة السير,,,السير,مخالفة السير,pay_bill
سدد الرسوم الجامعية لهذا الفصل الدراسي,,,الجامعة,الرسوم الجامعية,pay_bill
قم بدفع تكاليف الجامعة لهذا الفصل,,,الجامعة,تكاليف الجامعة,pay_bill
أدّ مستحقات الجامعة لهذا الترم الدراسي,,,الجامعة,مستحقات الجامعة,pay_bill
قم بسداد أقساط الجامعة لهذا الفصل,,,الجامعة,أقساط الجامعة,pay_bill
سدد رسوم الجامعة لهذا الفصل الدراسي,,,الجامعة,رسوم الجامعة,pay_bill
ادفع فاتورة الغاز فوراً,,,,فاتورة الغاز,pay_bill
قم بسداد فاتورة الغاز حالاً,,,,فاتورة الغاز,pay_bill
أدّ فاتورة الغاز في الوقت الحالي,,,,فاتورة الغاز,pay_bill
ادفع مستحقات فاتورة الغاز الآن,,,,فاتورة الغاز,pay_bill
سدد قيمة فاتورة الغاز في الحال,,,,فاتورة الغاز,pay_bill
سدد فاتورة مياه المنزل,,,,مياه,pay_bill
قم بدفع مستحقات المياه الخاصة بالبيت,,,,المياه,pay_bill
ادفع قيمة استهلاك المياه للمنزل,,,,المياه,pay_bill
سدد فاتورة مياه البيت,,,,مياه,pay_bill
قم بسداد حساب المياه المنزلي,,,,المياه,pay_bill
سدد فاتورة الكهرباء المسجلة باسم البيت,,,,الكهرباء,pay_bill
قم بدفع حساب الكهرباء الذي باسم المنزل,,,,الكهرباء,pay_bill
ادفع فاتورة الكهرباء المنسوبة لاسم البيت,,,,الكهرباء,pay_bill
سدد تكاليف الكهرباء الصادرة باسم المنزل,,,,الكهرباء,pay_bill
قم بسداد فاتورة الكهرباء تحت مسمى البيت,,,,الكهرباء,pay_bill
سدد فاتورة الهاتف الشهرية,,,,فاتورة الهاتف ,pay_bill
قم بدفع اشتراك الهاتف الشهري,,,,اشتراك الهاتف ,pay_bill
ادفع مستحقات الهاتف الشهرية,,,,مستحقات الهاتف ,pay_bill
سدد الحساب الشهري للهاتف,,,,الحساب الشهري للهاتف,pay_bill
قم بسداد فاتورة الهاتف لكل شهر,,,,فاتورة الهاتف لكل شهر,pay_bill
سدد فاتورة شركة الاتصالات,,,شركة الاتصالات,فاتورة شركة الاتصالات,pay_bill
قم بدفع مستحقات شركة الاتصال,,,شركة الاتصال,مستحقات شركة الاتصال,pay_bill
سدد حساب شركة الاتصالات,,,شركة الاتصالات,حساب شركة الاتصالات,pay_bill
ادفع قيمة فاتورة شركة الاتصالات,,,شركة الاتصالات,فاتورة الاتصالات,pay_bill
قم بسداد فاتورة مزود الاتصالات,,,مزود الاتصالات,فاتورة  الاتصالات,pay_bill
سدد فاتورة الإنترنت للشهر المنصرم,,,,فاتورة الإنترنت,pay_bill
ادفع فاتورة الإنترنت عن الشهر الفائت,,,,فاتورة الإنترنت,pay_bill
أتمم دفع فاتورة الإنترنت للشهر السابق,,,,فاتورة الإنترنت,pay_bill
سدد مستحقات الإنترنت عن الشهر الماضي,,,,مستحقات الإنترنت,pay_bill
ادفع فاتورة الإنترنت الخاصة بالشهر المنقضي,,,,فاتورة,pay_bill
سدد فاتورة المياه لهذا الشهر,,,,المياه,pay_bill
ادفع مستحقات المياه عن الشهر الحالي,,,,المياه,pay_bill
أتمم سداد استهلاك المياه لهذا الشهر,,,,المياه,pay_bill
ادفع تكاليف المياه عن الشهر الجاري,,,,المياه,pay_bill
سدد قيمة فاتورة المياه لهذه الفترة,,,,المياه,pay_bill
سدد فواتير الكهرباء المتجمعة,,,,الكهرباء,pay_bill
ادفع فاتورة الكهرباء المتأخرة,,,,الكهرباء,pay_bill
أتمم سداد مستحقات الكهرباء المتراكمة,,,,الكهرباء,pay_bill
سدد ما تراكم من فاتورة الكهرباء,,,,الكهرباء,pay_bill
ادفع المبالغ المتراكمة لفاتورة الكهرباء,,,,الكهرباء,pay_bill
ادفع قيمة فاتورة الهاتف,,,,الهاتف,pay_bill
سدد مستحقات فاتورة الهاتف,,,,الهاتف,pay_bill
أتمم دفع فاتورة الهاتف,,,,الهاتف,pay_bill
سدد تكاليف فاتورة الهاتف,,,,الهاتف,pay_bill
ادفع المبالغ المطلوبة للهاتف,,,,الهاتف,pay_bill
أرسل 5 دنانير لأحمد,5,دنانير,أحمد,,p2p_transfer
حول لأحمد 5 دنانير,5,دنانير,أحمد,,p2p_transfer
قم بتحويل 5 دنانير لأحمد,5,دنانير,أحمد,,p2p_transfer
انقل 5 دنانير لأحمد,5,دنانير,أحمد,,p2p_transfer
قم بإرسال 5 دنانير لأحمد,5,دنانير,أحمد,,p2p_transfer
أرسل 10 دنانير لليلى,10,دنانير,ليلى,,p2p_transfer
حول لليلى 10 دنانير,10,دنانير,ليلى,,p2p_transfer
قم بتحويل 10 دنانير لليلى,10,دنانير,ليلى,,p2p_transfer
انقل 10 دنانير لليلى,10,دنانير,ليلى,,p2p_transfer
قم بإرسال 10 دنانير لليلى,10,دنانير,ليلى,,p2p_transfer
أرسل 15 ديناراً لمحمد,15,ديناراً,محمد,,p2p_transfer
حول لمحمد 15 ديناراً,15,ديناراً,محمد,,p2p_transfer
قم بتحويل 15 ديناراً لمحمد,15,ديناراً,محمد,,p2p_transfer
انقل 15 ديناراً لمحمد,15,ديناراً,محمد,,p2p_transfer
قم بإرسال 15 ديناراً لمحمد,15,ديناراً,محمد,,p2p_transfer
أرسل 20 ديناراً لسارة,20,ديناراً,سارة,,p2p_transfer
حول لسارة 20 ديناراً,20,ديناراً,سارة,,p2p_transfer
قم بتحويل 20 ديناراً لسارة,20,ديناراً,سارة,,p2p_transfer
انقل 20 ديناراً لسارة,20,ديناراً,سارة,,p2p_transfer
قم بإرسال 20 ديناراً لسارة,20,ديناراً,سارة,,p2p_transfer
أرسل 25 ديناراً لخالد,25,ديناراً,خالد,,p2p_transfer
حول لخالد 25 ديناراً,25,ديناراً,خالد,,p2p_transfer
قم بتحويل 25 ديناراً لخالد,25,ديناراً,خالد,,p2p_transfer
انقل 25 ديناراً لخالد,25,ديناراً,خالد,,p2p_transfer
قم بإرسال 25 ديناراً لخالد,25,ديناراً,خالد,,p2p_transfer
قم بتحويل 30 ديناراً إلى رنا,30,ديناراً,رنا,,p2p_transfer
أرسل مبلغ 30 ديناراً لرنا,30,ديناراً,رنا,,p2p_transfer
حول لرنا مبلغ 30 ديناراً,30,ديناراً,رنا,,p2p_transfer
قم بإرسال 30 ديناراً لرنا,30,ديناراً,رنا,,p2p_transfer
أجرِ تحويلاً بقيمة 30 ديناراً لرنا,30,ديناراً,رنا,,p2p_transfer
قم بتحويل 35 ديناراً إلى عمر,35,ديناراً,عمر,,p2p_transfer
أرسل مبلغ 35 ديناراً لعمر,35,ديناراً,عمر,,p2p_transfer
حول لعمر مبلغ 35 ديناراً,35,ديناراً,عمر,,p2p_transfer
قم بإرسال 35 ديناراً لعمر,35,ديناراً,عمر,,p2p_transfer
أجرِ تحويلاً بقيمة 35 ديناراً لعمر,35,ديناراً,عمر,,p2p_transfer
قم بتحويل 40 ديناراً إلى مريم,40,ديناراً,مريم,,p2p_transfer
أرسل مبلغ 40 ديناراً لمريم,40,ديناراً,مريم,,p2p_transfer
حول لمريم مبلغ 40 ديناراً,40,ديناراً,مريم,,p2p_transfer
قم بإرسال 40 ديناراً لمريم,40,ديناراً,مريم,,p2p_transfer
أجرِ تحويلاً بقيمة 40 ديناراً لمريم,40,ديناراً,مريم,,p2p_transfer
قم بتحويل 45 ديناراً إلى يوسف,45,ديناراً,يوسف,,p2p_transfer
أرسل مبلغ 45 ديناراً ليوسف,45,ديناراً,يوسف,,p2p_transfer
حول ليوسف مبلغ 45 ديناراً,45,ديناراً,يوسف,,p2p_transfer
قم بإرسال 45 ديناراً ليوسف,45,ديناراً,يوسف,,p2p_transfer
أجرِ تحويلاً بقيمة 45 ديناراً ليوسف,45,ديناراً,يوسف,,p2p_transfer
قم بتحويل 50 ديناراً إلى هبة,50,ديناراً,هبة,,p2p_transfer
أرسل مبلغ 50 ديناراً لهبة,50,ديناراً,هبة,,p2p_transfer
حول لهبة مبلغ 50 ديناراً,50,ديناراً,هبة,,p2p_transfer
قم بإرسال 50 ديناراً لهبة,50,ديناراً,هبة,,p2p_transfer
أجرِ تحويلاً بقيمة 50 ديناراً لهبة,50,ديناراً,هبة,,p2p_transfer
أرسل 60 دينار لنور,60,دينار,نور,,p2p_transfer
انقل 60 دينار لنور,60,دينار,نور,,p2p_transfer
ابعث 60 دينار لنور,60,دينار,نور,,p2p_transfer
حوّل 60 دينار إلى نور,60,دينار,نور,,p2p_transfer
قم بتحويل 60 دينار لنور,60,دينار,نور,,p2p_transfer
أرسل 70 دينار لعلي,70,دينار,علي,,p2p_transfer
انقل 70 دينار لعلي,70,دينار,علي,,p2p_transfer
ابعث 70 دينار لعلي,70,دينار,علي,,p2p_transfer
حوّل 70 دينار إلى علي,70,دينار,علي,,p2p_transfer
قم بتحويل 70 دينار لعلي,70,دينار,علي,,p2p_transfer
أرسل 80 دينار لتالا,80,دينار,تالا,,p2p_transfer
انقل 80 دينار لتالا,80,دينار,تالا,,p2p_transfer
ابعث 80 دينار لتالا,80,دينار,تالا,,p2p_transfer
حوّل 80 دينار إلى تالا,80,دينار,تالا,,p2p_transfer
قم بتحويل 80 دينار لتالا,80,دينار,تالا,,p2p_transfer
أرسل 90 دينار لسلمى,90,دينار,سلمى,,p2p_transfer
انقل 90 دينار لسلمى,90,دينار,سلمى,,p2p_transfer
ابعث 90 دينار لسلمى,90,دينار,سلمى,,p2p_transfer
حوّل 90 دينار إلى سلمى,90,دينار,سلمى,,p2p_transfer
قم بتحويل 90 دينار لسلمى,90,دينار,سلمى,,p2p_transfer
أرسل 100 دينار لزيد,100,دينار,زيد,,p2p_transfer
انقل 100 دينار لزيد,100,دينار,زيد,,p2p_transfer
ابعث 100 دينار لزيد,100,دينار,زيد,,p2p_transfer
حوّل 100 دينار إلى زيد,100,دينار,زيد,,p2p_transfer
قم بتحويل 100 دينار لزيد,100,دينار,زيد,,p2p_transfer
قم بتحويل دينارين لأحمد,دينارين,دينارين,أحمد,,p2p_transfer
أرسل دينارين لأحمد,دينارين,دينارين,أحمد,,p2p_transfer
انقل دينارين لأحمد,دينارين,دينارين,أحمد,,p2p_transfer
قم بإرسال دينارين لأحمد,دينارين,دينارين,أحمد,,p2p_transfer
حوّل مبلغ دينارين لأحمد,دينارين,دينارين,أحمد,,p2p_transfer
قم بتحويل ثلاث دنانير لليلى,ثلاث,دنانير,ليلى,,p2p_transfer
أرسل ثلاث دنانير لليلى,ثلاث,دنانير,ليلى,,p2p_transfer
انقل ثلاث دنانير لليلى,ثلاث,دنانير,ليلى,,p2p_transfer
قم بإرسال ثلاث دنانير لليلى,ثلاث,دنانير,ليلى,,p2p_transfer
حوّل لليلى ثلاث دنانير,ثلاث,دنانير,ليلى,,p2p_transfer
قم بتحويل أربعة دنانير لمحمد,أربعة,دنانير,محمد,,p2p_transfer
أرسل أربعة دنانير لمحمد,أربعة,دنانير,محمد,,p2p_transfer
انقل أربعة دنانير لمحمد,أربعة,دنانير,محمد,,p2p_transfer
قم بإرسال أربعة دنانير لمحمد,أربعة,دنانير,محمد,,p2p_transfer
حوّل لمحمد أربعة دنانير,أربعة,دنانير,محمد,,p2p_transfer
قم بتحويل 12 دينار لسارة اليوم,12,دينار,سارة,,p2p_transfer
أرسل 12 دينار لسارة اليوم,12,دينار,سارة,,p2p_transfer
انقل 12 دينار لسارة اليوم,12,دينار,سارة,,p2p_transfer
قم بإرسال 12 دينار لسارة اليوم,12,دينار,سارة,,p2p_transfer
حوّل لسارة 12 دينار اليوم,12,دينار,سارة,,p2p_transfer
قم بتحويل 18 دينار لخالد الآن,18,دينار,خالد,,p2p_transfer
أرسل 18 دينار لخالد الآن,18,دينار,خالد,,p2p_transfer
انقل 18 دينار لخالد الآن,18,دينار,خالد,,p2p_transfer
قم بإرسال 18 دينار لخالد الآن,18,دينار,خالد,,p2p_transfer
حوّل لخالد 18 دينار الآن,18,دينار,خالد,,p2p_transfer
أرسل 22 ديناراً لرنا حالاً,22,ديناراً,رنا,,p2p_transfer
قم بتحويل 22 ديناراً إلى رنا فوراً,22,ديناراً,رنا,,p2p_transfer
انقل 22 ديناراً لرنا في الحال,22,ديناراً,رنا,,p2p_transfer
ابعث 22 ديناراً إلى رنا مباشرة,22,ديناراً,رنا,,p2p_transfer
قم بإرسال 22 ديناراً لرنا الآن,22,ديناراً,رنا,,p2p_transfer
أرسل 37 ديناراً لعمر,37,ديناراً,عمر,,p2p_transfer
قم بتحويل 37 ديناراً إلى عمر,37,ديناراً,عمر,,p2p_transfer
انقل 37 ديناراً لعمر,37,ديناراً,عمر,,p2p_transfer
ابعث 37 ديناراً إلى عمر,37,ديناراً,عمر,,p2p_transfer
قم بإرسال 37 ديناراً لعمر,37,ديناراً,عمر,,p2p_transfer
أرسل 95 ديناراً لهبة,95,ديناراً,هبة,,p2p_transfer
قم بتحويل 95 ديناراً إلى هبة,95,ديناراً,هبة,,p2p_transfer
انقل 95 ديناراً لهبة,95,ديناراً,هبة,,p2p_transfer
ابعث 95 ديناراً إلى هبة,95,ديناراً,هبة,,p2p_transfer
قم بإرسال 95 ديناراً لهبة,95,ديناراً,هبة,,p2p_transfer
قم بتحويل مبلغ 10 دنانير لحمزة,10,دنانير,حمزة,,p2p_transfer
أرسل مبلغ 10 دنانير لحمزة,10,دنانير,حمزة,,p2p_transfer
حوّل لحمزة مبلغ 10 دنانير,10,دنانير,حمزة,,p2p_transfer
أرسل مبلغ 10 دنانير إلى حمزة,10,دنانير,حمزة,,p2p_transfer
حوّل إلى حمزة مبلغ 10 دنانير,10,دنانير,حمزة,,p2p_transfer
قم بتحويل مبلغ 15 دينار لريم,15,دينار,ريم,,p2p_transfer
أرسل مبلغ 15 دينار لريم,15,دينار,ريم,,p2p_transfer
حوّل لريم مبلغ 15 دينار,15,دينار,ريم,,p2p_transfer
أرسل مبلغ 15 دينار إلى ريم,15,دينار,ريم,,p2p_transfer
حوّل إلى ريم مبلغ 15 دينار,15,دينار,ريم,,p2p_transfer
قم بتحويل مبلغ 20 دينار لمراد,20,دينار,مراد,,p2p_transfer
أرسل مبلغ 20 دينار لمراد,20,دينار,مراد,,p2p_transfer
حوّل لمراد مبلغ 20 دينار,20,دينار,مراد,,p2p_transfer
أرسل مبلغ 20 دينار إلى مراد,20,دينار,مراد,,p2p_transfer
حوّل إلى مراد مبلغ 20 دينار,20,دينار,مراد,,p2p_transfer
قم بتحويل 8 دنانير لسمير,8,دنانير,سمير,,p2p_transfer
أرسل 8 دنانير لسمير,8,دنانير,سمير,,p2p_transfer
حوّل لسمير 8 دنانير,8,دنانير,سمير,,p2p_transfer
أرسل 8 دنانير إلى سمير,8,دنانير,سمير,,p2p_transfer
حوّل إلى سمير 8 دنانير,8,دنانير,سمير,,p2p_transfer
قم بتحويل 13 دينار لفرح,13,دينار,فرح,,p2p_transfer
أرسل 13 دينار لفرح,13,دينار,فرح,,p2p_transfer
حوّل لفرح 13 دينار,13,دينار,فرح,,p2p_transfer
أرسل 13 دينار إلى فرح,13,دينار,فرح,,p2p_transfer
حوّل إلى فرح 13 دينار,13,دينار,فرح,,p2p_transfer
ادفع فاتورة الكهرباء الخاصة بك,,,,الكهرباء,pay_bill
ادفع فاتورة المياه الخاصة بك,,,,المياه,pay_bill
ادفع فاتورة الإنترنت الخاصة بك,,,,الإنترنت,pay_bill
ادفع فاتورة هاتفك,,,,الهاتف,pay_bill
ادفع فاتورة الغاز الخاصة بك,,,,الغاز,pay_bill
ادفع الرسوم الجامعية,,,الجامعة,الرسوم الجامعية,pay_bill
ادفع فاتورة المياه المتأخرة,,,,المياه,pay_bill
ادفع فاتورة الكهرباء لهذا الشهر.,,,,الكهرباء,pay_bill
ادفع فاتورة هاتفك الأرضي,,,,الهاتف الأرضي,pay_bill
ادفع فاتورة الإنترنت لشهر أغسطس,,,,الإنترنت,pay_bill
ادفع الرسوم الدراسية,,,,الرسوم الدراسية,pay_bill
ادفع ضريبة العقار,,,,ضريبة العقار,pay_bill
ادفع فاتورة الإنترنت عبر الألياف الضوئية,,,,فاتورة الإنترنت,pay_bill
ادفع فاتورة الكهرباء فوراً,,,,فاتورة الكهرباء,pay_bill
ادفع فاتورة المياه اليوم,,,,فاتورة المياه,pay_bill
ادفع رسوم الاشتراك في باقة الهاتف المحمول,,,,رسوم الاشتراك في باقة الهاتف المحمول,pay_bill
ادفع فاتورة التلفزيون الخاصة بك,,,,فاتورة التلفزيون,pay_bill
ادفع غرامة المرور,,,المرور,غرامة المرور,pay_bill
ادفع رسوم الجامعة لهذا الفصل الدراسي.,,,الجامعة,رسوم الجامعة,pay_bill
ادفع فاتورة الغاز الآن,,,,فاتورة الغاز,pay_bill
ادفع فاتورة المياه للمنزل,,,,المياه,pay_bill
ادفع فاتورة الكهرباء باسم المنزل.,,,,الكهرباء,pay_bill
ادفع فاتورة هاتفك الشهرية,,,,هاتفك,pay_bill
ادفع فاتورة شركة الهاتف الخاصة بك,,,شركة الهاتف,فاتورة شركة الهاتف,pay_bill
ادفع فاتورة الإنترنت الخاصة بك للشهر الماضي.,,,,الإنترنت,pay_bill
ادفع فاتورة المياه لهذا الشهر.,,,,المياه,pay_bill
ادفع فاتورة الكهرباء المتأخرة.,,,,الكهرباء,pay_bill
ادفع فاتورة هاتفك,,,,هاتفك,pay_bill
حوّل 5 دنانير إلى أحمد,5,دنانير,أحمد,,p2p_transfer
حوّل 10 دنانير إلى ليلى,10,دنانير,ليلى,,p2p_transfer
حوّل 15 دينارًا إلى محمد,15,دينارًا,محمد,,p2p_transfer
حوّل 20 دينارًا إلى سارة,20,دينارًا,سارة,,p2p_transfer
حوّل 25 دينار إلى خالد,25,دينار,خالد,,p2p_transfer
حوّل 30 دينار إلى رنا,30,دينار,رنا,,p2p_transfer
حوّل 35 دينار إلى عمر,35,دينار,عمر,,p2p_transfer
حوّل 40 دينار إلى مريم,40,دينار,مريم,,p2p_transfer
حوّل 45 دينار إلى يوسف,45,دينار,يوسف,,p2p_transfer
حوّل 50 دينارًا إلى هبة,50,دينارًا,هبة,,p2p_transfer
حوّل 22 دينار إلى رنا فورًا,22,دينار,رنا,,p2p_transfer
حوّل 37 دينار إلى عمر,37,دينار,عمر,,p2p_transfer
حوّل 55 دينار إلى مريم,55,دينار,مريم,,p2p_transfer
حوّل 75 دينار إلى يوسف,75,دينار,يوسف,,p2p_transfer
حوّل 95 دينار إلى هبة,95,دينار,هبة,,p2p_transfer
حوّل مبلغ 10 دنانير إلى حمزة,10,دنانير,حمزة,,p2p_transfer
حوّل مبلغ 15 دينار إلى ريم,15,دينار,ريم,,p2p_transfer
حوّل مبلغ 20 دينار إلى مراد,20,دينار,مراد,,p2p_transfer
حوّل 8 دنانير إلى سمير,8,دنانير,سمير,,p2p_transfer
حوّل 13 دينار إلى فرح,13,دينار,فرح,,p2p_transfer
ادفع فاتورة الكهرباء,,,,فاتورة الكهرباء,pay_bill
ادفع فاتورة المي,,,,فاتورة المي,pay_bill
سدد فاتورة الإنترنت,,,,فاتورة الإنترنت,pay_bill
ادفع فاتورة الهاتف,,,,فاتورة الهاتف,pay_bill
ادفع فاتورة الغاز,,,,فاتورة الغاز,pay_bill
ادفع رسوم الجامعة,,,الجامعة,رسوم الجامعة,pay_bill
سدد فاتورة المياه المتأخرة,,,,فاتورة المياه ,pay_bill
ادفع اشتراك الكهرباء لهذا الشهر,,,,اشتراك الكهرباء,pay_bill
ادفع فاتورة الهاتف الأرضي,,,,فاتورة الهاتف الأرضي,pay_bill
ادفع فاتورة الإنترنت لشهر آب,,,,فاتورة الإنترنت,pay_bill
ادفع رسوم المدرسة,,,المدرسة,رسوم المدرسة,pay_bill
سدد ضريبة المسقفات,,,,ضريبة المسقفات,pay_bill
ادفع فاتورة النت للفايبر,,,,فاتورة النت,pay_bill
ادفع فاتورة الكهرباء فورًا,,,,فاتورة الكهرباء,pay_bill
سدد فاتورة المي اليوم,,,,فاتورة المي,pay_bill
ادفع رسوم اشتراك باقة الموبايل,,,,رسوم اشتراك الموبايل,pay_bill
ادفع فاتورة التلفزيون,,,,فاتورة التلفزيون,pay_bill
ادفع مخالفة السير,,,السير,مخالفة السير,pay_bill
ادفع رسوم الجامعة لهذا الفصل,,,الجامعة,رسوم الجامعة,pay_bill
سدد فاتورة الغاز الآن,,,,فاتورة الغاز,pay_bill
ادفع فاتورة المياه للبيت,,,,المياه,pay_bill
ادفع فاتورة الكهرباء باسم البيت,,,,الكهرباء,pay_bill
ادفع فاتورة الهاتف الشهري,,,,الهاتف,pay_bill
ادفع فاتورة شركة الاتصالات,,,شركة الاتصالات,فاتورة شركة الاتصالات,pay_bill
سدد فاتورة الإنترنت عن الشهر الماضي,,,,الإنترنت,pay_bill
ادفع فاتورة المياه عن هذا الشهر,,,,المياه,pay_bill
ادفع فاتورة الكهرباء المتراكمة,,,,الكهرباء,pay_bill
سدد قيمة فاتورة الهاتف,,,,الهاتف,pay_bill
حوّل 10 دنانير لليلى,10,دنانير,ليلى,,p2p_transfer
حوّل 15 دينار لمحمد,15,دينار,محمد,,p2p_transfer
حوّل 20 دينار لسارة,20,دينار,سارة,,p2p_transfer
حوّل 25 دينار لخالد,25,دينار,خالد,,p2p_transfer
حوّل 30 دينار لرنا,30,دينار,رنا,,p2p_transfer
حوّل 35 دينار لعمر,35,دينار,عمر,,p2p_transfer
